site	status	first_seen_date	last_seen_date	days_seen	times_seen	ad_score	ad_reason	src	src_open	landing_url	landing_open	screenshot_path	screenshot_file
gogo.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	4	large,ad_host/path	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/7424e65a-4a2f-421b-b0af-234409514d5a/68ba3ae4f067562fb0b6a40a_compressed.webp	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/7424e65a-4a2f-421b-b0af-234409514d5a/68ba3ae4f067562fb0b6a40a_compressed.webp	https://gogo.mn	https://gogo.mn	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\gogo_1757390247_26_6b42be20.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/gogo_1757390247_26_6b42be20.png
gogo.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	9	iframe,large,std_size,ad_host/path,ad_word	https://exchange.boost.mn/ad/web/7dbe8f1f-2042-4ec2-a583-ae72994d07d4?config=eyJvZmZzZXQiOjIsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://exchange.boost.mn/ad/web/7dbe8f1f-2042-4ec2-a583-ae72994d07d4?config=eyJvZmZzZXQiOjIsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://gogo.mn	https://gogo.mn	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\gogo_1757390248_32_020787f6.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/gogo_1757390248_32_020787f6.png
gogo.mn	ДУУССАН	2025-09-09	2025-09-10	2	14	7	iframe,large,ad_host/path,ad_word	https://exchange.boost.mn/ad/web/0dd86156-4bad-4edb-b3d3-899fccc948ff?config=eyJvZmZzZXQiOjcsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://exchange.boost.mn/ad/web/0dd86156-4bad-4edb-b3d3-899fccc948ff?config=eyJvZmZzZXQiOjcsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://gogo.mn	https://gogo.mn	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\gogo_1757390250_132_e2d53d38.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/gogo_1757390250_132_e2d53d38.png
gogo.mn	ДУУССАН	2025-09-09	2025-09-10	2	11	7	iframe,large,ad_host/path,ad_word	https://exchange.boost.mn/ad/web/e0118a9c-8eb3-4dbd-8adb-661ecb6eccd7?config=eyJvZmZzZXQiOjgsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://exchange.boost.mn/ad/web/e0118a9c-8eb3-4dbd-8adb-661ecb6eccd7?config=eyJvZmZzZXQiOjgsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://gogo.mn	https://gogo.mn	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\gogo_1757390251_146_b1382d91.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/gogo_1757390251_146_b1382d91.png
ikon.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	4	iframe,large,ad_word	https://ikon.mn/ad/IKONMN_A1?1757390289	https://ikon.mn/ad/IKONMN_A1?1757390289	https://ikon.mn	https://ikon.mn	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\ikon_1757390366_7_34bf984b.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/ikon_1757390366_7_34bf984b.png
ikon.mn	ДУУССАН	2025-09-09	2025-09-10	2	7	4	iframe,large,ad_word	https://ikon.mn/ad/IKONMN_B1?1757390274	https://ikon.mn/ad/IKONMN_B1?1757390274	https://ikon.mn	https://ikon.mn	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\ikon_1757390369_45_f6c26b46.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/ikon_1757390369_45_f6c26b46.png
news.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	8	large,std_size,ad_host/path,external_click,ad_word	https://news.mn/wp-content/uploads/2025/09/Promotion-BANNER-SEP-scaled.jpg	https://news.mn/wp-content/uploads/2025/09/Promotion-BANNER-SEP-scaled.jpg	https://www.koreanair.com/contents/promotion/list/2025/ULN250901EN?pageNum=1	https://www.koreanair.com/contents/promotion/list/2025/ULN250901EN?pageNum=1	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\news_1757390445_5_5c389e41.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/news_1757390445_5_5c389e41.png
news.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	5	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/08/News.mn-300x245-b.png	https://news.mn/wp-content/uploads/2025/08/News.mn-300x245-b.png	https://www.tdbm.mn/mn/news/khurimtlaltay-mongol-2025-2	https://www.tdbm.mn/mn/news/khurimtlaltay-mongol-2025-2	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\news_1757390448_20_4ec86482.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/news_1757390448_20_4ec86482.png
news.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	7	large,std_size,ad_host/path,ad_word	https://news.mn/wp-content/uploads/2025/09/NEWS.mn-BANNER.jpg	https://news.mn/wp-content/uploads/2025/09/NEWS.mn-BANNER.jpg	https://news.mn/	https://news.mn/	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\news_1757390449_64_d6ba34e9.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/news_1757390449_64_d6ba34e9.png
news.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	8	large,std_size,ad_host/path,external_click,ad_word	https://news.mn/wp-content/uploads/2025/08/News.mn-Banner-copy-scaled.jpg	https://news.mn/wp-content/uploads/2025/08/News.mn-Banner-copy-scaled.jpg	https://www.facebook.com/PCMallOfficial/posts/pfbid09Wbeo16DSefrSfphwaK9PoMf69JCgJWvAdsGcSPm3MQURTT72N5FGvFr7NQgrn1ul	https://www.facebook.com/PCMallOfficial/posts/pfbid09Wbeo16DSefrSfphwaK9PoMf69JCgJWvAdsGcSPm3MQURTT72N5FGvFr7NQgrn1ul	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\news_1757390458_6_baffeab7.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/news_1757390458_6_baffeab7.png
news.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	5	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/08/HS-News.mn-300x245-1.jpg	https://news.mn/wp-content/uploads/2025/08/HS-News.mn-300x245-1.jpg	https://www.tdbm.mn/mn/news/happy-school	https://www.tdbm.mn/mn/news/happy-school	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\news_1757390458_21_86f21b51.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/news_1757390458_21_86f21b51.png
news.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	8	large,std_size,ad_host/path,external_click,ad_word	https://news.mn/wp-content/uploads/2025/09/NEWS.MN-BANNER-HUNDLUN.jpg	https://news.mn/wp-content/uploads/2025/09/NEWS.MN-BANNER-HUNDLUN.jpg	https://steppemarathon.com/	https://steppemarathon.com/	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\news_1757390466_7_f9f90a26.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/news_1757390466_7_f9f90a26.png
news.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	5	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/08/news-1-scaled.jpg	https://news.mn/wp-content/uploads/2025/08/news-1-scaled.jpg	https://www.khanbank.com/personal/news/intelligence/7647/	https://www.khanbank.com/personal/news/intelligence/7647/	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\news_1757390467_22_d6db296f.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/news_1757390467_22_d6db296f.png
news.mn	ДУУССАН	2025-09-09	2025-09-10	2	10	5	large,std_size,external_click,ad_word	https://news.mn/wp-content/uploads/2025/09/2.-News-copy.jpg	https://news.mn/wp-content/uploads/2025/09/2.-News-copy.jpg	https://www.khanbank.com/personal/news/intelligence/7657/	https://www.khanbank.com/personal/news/intelligence/7657/	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-09\news_1757390483_23_a319ba97.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-09/news_1757390483_23_a319ba97.png
gogo.mn	ДУУССАН	2025-09-10	2025-09-10	1	5	7	iframe,large,ad_host/path,ad_word	https://exchange.boost.mn/ad/web/b2e2476b-0ff2-43df-8a08-38ba92630379?config=eyJvZmZzZXQiOjMsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://exchange.boost.mn/ad/web/b2e2476b-0ff2-43df-8a08-38ba92630379?config=eyJvZmZzZXQiOjMsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	https://gogo.mn	https://gogo.mn	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-10\gogo_1757490130_243_27bdb04b.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-10/gogo_1757490130_243_27bdb04b.png
ikon.mn	ДУУССАН	2025-09-10	2025-09-10	1	3	4	iframe,large,ad_word	https://ikon.mn/ad/IKONMN_B1?1757489988	https://ikon.mn/ad/IKONMN_B1?1757489988	https://ikon.mn	https://ikon.mn	C:\UNITEL_Website\scraper\banner_screenshots\2025-09-10\ikon_1757490330_45_5fcf9578.png	file:///C:/UNITEL_Website/scraper/banner_screenshots/2025-09-10/ikon_1757490330_45_5fcf9578.png
